Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,229.6,38.0203,8.98,5.4371,13.31,38.8,0.0009972609476841367,0.7,4.0
2,50.3,31.1426,19.99,5.7922,21.24,49.81,0.0009890738003669028,0.7,4.0
3,51.0,26.8389,28.12,4.5022,31.63,63.88,0.0009755282581475768,0.7,4.0
4,50.5,23.2593,35.47,4.3398,36.81,69.7,0.0009567727288213003,0.7,4.0
5,49.2,20.6724,41.41,3.9296,41.97,74.24,0.0009330127018922195,0.7,4.0
6,50.3,18.6632,45.97,3.7609,45.22,76.94,0.0009045084971874739,0.7,4.0
7,49.0,17.0664,49.91,3.5614,47.6,79.31,0.0008715724127386972,0.7,4.0
8,50.1,15.6513,53.5,3.3683,49.63,80.24,0.0008345653031794292,0.7,4.0
9,49.3,14.5052,56.71,3.3588,51.63,81.33,0.0007938926261462366,0.7,4.0
10,49.7,13.482,59.3,3.3767,53.24,82.65,0.00075,0.7,4.0
11,49.0,12.6269,61.65,3.2565,54.9,83.53,0.0007033683215379003,0.7,4.0
12,50.7,11.7931,64.01,3.0892,57.34,84.69,0.0006545084971874739,0.7,4.0
13,50.8,11.0365,66.22,3.1052,57.4,84.97,0.0006039558454088797,0.7,4.0
14,50.3,10.3786,68.34,3.0817,57.71,85.13,0.0005522642316338269,0.7,4.0
15,50.8,9.6747,70.54,3.0666,58.82,85.98,0.0005000000000000002,0.7,4.0
16,50.3,9.1289,72.17,3.0596,58.91,85.93,0.0004477357683661734,0.7,4.0
17,49.6,8.5536,74.14,3.0759,59.98,86.19,0.00039604415459112036,0.7,4.0
18,49.6,8.0542,75.9,3.0553,60.22,86.3,0.0003454915028125264,0.7,4.0
19,49.0,7.5763,77.84,3.0818,60.47,86.53,0.00029663167846210003,0.7,4.0
20,51.6,7.1361,79.36,3.1229,60.49,86.25,0.00025000000000000017,0.7,4.0
21,48.7,6.7721,80.73,3.1093,60.94,86.61,0.00020610737385376354,0.7,4.0
22,49.6,6.3748,82.22,3.1731,60.56,86.51,0.00016543469682057108,0.7,4.0
23,50.1,6.0962,83.51,3.1554,60.86,86.69,0.00012842758726130303,0.7,4.0
24,50.4,5.8711,84.31,3.1881,61.09,86.64,9.549150281252637e-05,0.7,4.0
25,50.1,5.6285,85.3,3.1822,60.96,86.47,6.698729810778068e-05,0.7,4.0
26,50.0,5.4279,86.03,3.1656,61.31,86.59,4.322727117869953e-05,0.7,4.0
27,50.6,5.3505,86.54,3.1946,61.06,86.84,2.447174185242324e-05,0.7,4.0
28,50.2,5.2357,86.98,3.1736,61.22,86.62,1.092619963309716e-05,0.7,4.0
29,48.5,5.1524,87.27,3.1752,61.36,86.64,2.7390523158633003e-06,0.7,4.0
30,48.9,5.0943,87.42,3.1725,61.26,86.79,0.0,0.7,4.0
