Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,165.9,16.731,53.36,2.0037,66.68,92.26,0.0009972609476841367,0.7,4.0
2,49.6,8.2207,72.83,1.7833,72.26,94.27,0.0009890738003669028,0.7,4.0
3,51.6,6.1145,79.56,1.6574,75.04,94.64,0.0009755282581475768,0.7,4.0
4,52.6,4.8225,84.06,1.6888,75.2,94.96,0.0009567727288213003,0.7,4.0
5,51.7,3.9277,87.45,1.7131,76.48,95.36,0.0009330127018922195,0.7,4.0
6,51.6,3.2211,90.29,1.6351,77.1,95.35,0.0009045084971874739,0.7,4.0
7,52.2,2.692,92.74,1.6931,76.94,95.55,0.0008715724127386972,0.7,4.0
8,51.9,2.2372,94.62,1.5367,78.29,95.93,0.0008345653031794292,0.7,4.0
9,52.2,1.8614,96.27,1.5783,79.17,95.97,0.0007938926261462366,0.7,4.0
10,51.8,1.6041,97.35,1.5397,79.48,95.65,0.00075,0.7,4.0
11,51.8,1.3857,98.15,1.4613,79.57,95.9,0.0007033683215379003,0.7,4.0
12,51.8,1.2402,98.71,1.483,79.56,96.04,0.0006545084971874739,0.7,4.0
13,51.8,1.1001,99.13,1.3889,80.43,96.41,0.0006039558454088797,0.7,4.0
14,51.1,1.0084,99.35,1.3737,80.87,96.22,0.0005522642316338269,0.7,4.0
15,52.2,0.9147,99.54,1.3142,80.87,96.51,0.0005000000000000002,0.7,4.0
16,51.8,0.8311,99.72,1.2927,81.21,96.77,0.0004477357683661734,0.7,4.0
17,52.1,0.7824,99.82,1.2746,81.43,96.63,0.00039604415459112036,0.7,4.0
18,51.9,0.7139,99.85,1.2366,81.65,96.66,0.0003454915028125264,0.7,4.0
19,51.8,0.6669,99.87,1.2286,81.66,96.75,0.00029663167846210003,0.7,4.0
20,51.9,0.618,99.92,1.2199,81.75,96.73,0.00025000000000000017,0.7,4.0
21,51.7,0.5864,99.92,1.1943,81.92,96.69,0.00020610737385376354,0.7,4.0
22,52.1,0.5441,99.95,1.1625,82.23,96.94,0.00016543469682057108,0.7,4.0
23,52.1,0.5194,99.96,1.1467,82.38,96.97,0.00012842758726130303,0.7,4.0
24,51.9,0.4853,99.97,1.1263,82.58,97.01,9.549150281252637e-05,0.7,4.0
25,51.4,0.464,99.97,1.1247,82.6,97.11,6.698729810778068e-05,0.7,4.0
26,52.0,0.4475,99.98,1.1253,82.47,97.05,4.322727117869953e-05,0.7,4.0
27,52.0,0.4355,99.98,1.1204,82.68,97.09,2.447174185242324e-05,0.7,4.0
28,52.2,0.4235,99.98,1.1242,82.47,97.07,1.092619963309716e-05,0.7,4.0
29,52.2,0.4204,99.98,1.1193,82.57,97.1,2.7390523158633003e-06,0.7,4.0
30,52.6,0.4179,99.99,1.1157,82.74,97.05,0.0,0.7,4.0
