Epoch,Time_s,Train_Loss,Train_Acc,Test_Loss,Test_Acc_Top1,Test_Acc_Top5,LR,Alpha,Temperature
1,203.4,16.9517,52.64,1.8991,67.62,92.62,0.0009972609476841367,0.7,4.0
2,51.5,8.2242,72.77,1.7854,72.12,93.93,0.0009890738003669028,0.7,4.0
3,54.0,6.2034,79.27,1.6964,74.14,94.65,0.0009755282581475768,0.7,4.0
4,53.6,4.8451,84.0,1.5966,76.01,94.74,0.0009567727288213003,0.7,4.0
5,55.2,3.9634,87.21,1.6768,76.83,95.45,0.0009330127018922195,0.7,4.0
6,51.4,3.273,90.12,1.6489,76.76,95.32,0.0009045084971874739,0.7,4.0
7,47.0,2.7152,92.48,1.6884,76.98,95.14,0.0008715724127386972,0.7,4.0
8,47.1,2.2485,94.58,1.5134,78.5,95.64,0.0008345653031794292,0.7,4.0
9,47.3,1.8903,96.09,1.49,79.29,95.84,0.0007938926261462366,0.7,4.0
10,47.2,1.64,97.18,1.4997,79.02,95.89,0.00075,0.7,4.0
11,47.1,1.4028,98.14,1.435,79.87,96.3,0.0007033683215379003,0.7,4.0
12,47.4,1.2393,98.65,1.3478,80.72,96.13,0.0006545084971874739,0.7,4.0
13,52.0,1.101,99.11,1.4097,80.53,96.18,0.0006039558454088797,0.7,4.0
14,53.2,1.0214,99.31,1.2946,81.43,96.25,0.0005522642316338269,0.7,4.0
15,53.2,0.917,99.53,1.3037,81.41,96.27,0.0005000000000000002,0.7,4.0
16,52.3,0.8418,99.69,1.2851,81.27,96.42,0.0004477357683661734,0.7,4.0
17,50.5,0.7676,99.79,1.2247,81.58,96.72,0.00039604415459112036,0.7,4.0
18,47.9,0.7189,99.84,1.2219,82.21,96.65,0.0003454915028125264,0.7,4.0
19,47.6,0.6682,99.86,1.2024,81.66,96.73,0.00029663167846210003,0.7,4.0
20,47.8,0.6259,99.92,1.1914,82.02,96.85,0.00025000000000000017,0.7,4.0
21,48.1,0.5824,99.94,1.1466,82.31,96.7,0.00020610737385376354,0.7,4.0
22,47.7,0.544,99.94,1.1147,82.65,96.83,0.00016543469682057108,0.7,4.0
23,48.0,0.5159,99.96,1.1196,82.6,96.82,0.00012842758726130303,0.7,4.0
24,49.1,0.4881,99.97,1.1115,82.48,96.8,9.549150281252637e-05,0.7,4.0
25,50.4,0.471,99.97,1.1045,82.63,96.9,6.698729810778068e-05,0.7,4.0
26,52.4,0.4493,99.96,1.0947,82.59,96.97,4.322727117869953e-05,0.7,4.0
27,51.2,0.4337,99.97,1.0956,82.87,96.93,2.447174185242324e-05,0.7,4.0
28,51.6,0.427,99.98,1.0806,82.74,96.88,1.092619963309716e-05,0.7,4.0
29,52.0,0.419,99.98,1.0882,82.84,96.87,2.7390523158633003e-06,0.7,4.0
30,50.9,0.4176,99.99,1.0842,82.73,96.89,0.0,0.7,4.0
